"id";"application_apartment";"customer";"apartment_uuid";"queue_position";"state"
284;284;70;747;;"SUBMITTED"
285;285;116;765;;"CANCELED"
286;286;117;747;1,00;"SOLD"
287;287;9;749;;"SUBMITTED"
288;288;79;760;;"CANCELED"
289;289;136;751;1,00;"RESERVATION_AGREEMENT"
290;290;178;750;;"SUBMITTED"
291;291;142;747;;"SUBMITTED"
292;292;36;748;;"CANCELED"
293;293;113;766;;"SUBMITTED"
294;294;144;749;1,00;"SOLD"
295;295;122;767;;"CANCELED"
296;296;193;761;1,00;"RESERVATION_AGREEMENT"
297;297;179;753;;"CANCELED"
298;298;130;753;1,00;"SOLD"
299;299;181;750;1,00;"RESERVATION_AGREEMENT"
300;300;171;755;;"SUBMITTED"
301;301;140;748;;"CANCELED"
302;302;151;750;;"CANCELED"
303;303;150;749;;"SUBMITTED"
304;304;192;767;;"CANCELED"
305;305;110;760;;"CANCELED"
306;306;132;760;;"CANCELED"
307;307;112;758;;"SUBMITTED"
308;308;158;758;1,00;"RESERVATION_AGREEMENT"
309;309;175;752;1,00;"RESERVATION_AGREEMENT"
310;310;126;767;;"SUBMITTED"
1000243;1000243;170;826;1,00;"OFFER ACCEPTED"
1000244;1000244;170;827;;"SUBMITTED"
1000245;1000245;170;828;;"SUBMITTED"
1000246;1000246;127;825;1,00;"OFFER ACCEPTED"
1000247;1000247;127;829;;"SUBMITTED"
1000248;1000248;199;828;;"SUBMITTED"
1000249;1000249;199;829;;"SUBMITTED"
1000250;1000250;199;825;;"SUBMITTED"
1000251;1000251;201;825;;"SUBMITTED"
1000252;1000252;201;829;;"SUBMITTED"
1000253;1000253;201;828;;"SUBMITTED"
1000254;1000254;201;826;;"SUBMITTED"
1000255;1000255;162;826;;"SUBMITTED"
1000256;1000256;162;828;1,00;"OFFER ACCEPTED"
1000257;1000257;162;825;;"SUBMITTED"
1000258;1000258;203;825;;"SUBMITTED"
1000259;1000259;203;829;;"SUBMITTED"
1000260;1000260;131;826;;"SUBMITTED"
1000261;1000261;131;827;;"SUBMITTED"
1000262;1000262;131;828;;"SUBMITTED"
1000263;1000263;195;825;;"SUBMITTED"
1000264;1000264;195;829;;"SUBMITTED"
1000265;1000265;169;826;;"SUBMITTED"
1000266;1000266;169;827;;"SUBMITTED"
1000267;1000267;138;829;1,00;"OFFER ACCEPTED"
1000268;1000268;197;827;1,00;"OFFER ACCEPTED"
1000269;1000269;197;828;;"SUBMITTED"
1000270;1000270;197;829;;"SUBMITTED"
1000271;1000271;124;826;;"SUBMITTED"
1000272;1000272;124;827;;"SUBMITTED"
1000273;1000273;177;829;;"SUBMITTED"
1000274;1000274;177;825;;"SUBMITTED"
1000275;1000275;123;825;;"SUBMITTED"
1000276;1000276;123;829;;"SUBMITTED"
1000277;1000277;121;825;;"SUBMITTED"
1000278;1000278;121;829;;"SUBMITTED"
1000279;1000279;183;829;;"SUBMITTED"
1000280;1000280;183;825;;"SUBMITTED"
