id,apartment_uuid,timestamp
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,745,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,746,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,747,5.4.2022
36,748,5.4.2022
36,748,5.4.2022
