id;application_apartment;customer;apartment_uuid;queue_position;state
214;214;11;745;;SUBMITTED
215;215;71;746;;SUBMITTED
216;216;17;745;;SUBMITTED
217;217;46;746;;SUBMITTED
218;218;27;746;;SUBMITTED
219;219;29;746;;SUBMITTED
220;220;47;746;1;SOLD
221;221;33;745;;SUBMITTED
222;222;64;745;1;SOLD
225;225;155;754;1;SOLD
226;226;170;745;;SUBMITTED
227;227;186;762;1;RESERVATION_AGREEMENT
228;228;127;767;;SUBMITTED
229;229;199;757;;SUBMITTED
230;230;201;756;;SUBMITTED
231;231;162;752;;SUBMITTED
232;232;203;754;;SUBMITTED
233;233;15;759;;SUBMITTED
234;234;131;759;;SUBMITTED
235;235;152;756;1;SOLD
236;236;167;761;;SUBMITTED
237;237;174;758;;SUBMITTED
238;238;184;756;;SUBMITTED
239;239;189;764;1;RESERVATION_AGREEMENT
240;240;157;762;;SUBMITTED
241;241;129;752;;SUBMITTED
242;242;62;760;1;RESERVATION_AGREEMENT
243;243;187;757;1;RESERVATION_AGREEMENT
244;244;124;767;;SUBMITTED
245;245;177;756;;SUBMITTED
246;246;123;754;;SUBMITTED
247;247;195;759;;SUBMITTED
248;248;169;762;;SUBMITTED
249;249;138;768;;SUBMITTED
250;250;197;761;;SUBMITTED
251;251;156;759;1;RESERVATION_AGREEMENT
252;252;137;762;;SUBMITTED
253;253;154;745;;SUBMITTED
254;254;180;763;;SUBMITTED
255;255;121;753;;SUBMITTED
256;256;147;759;;SUBMITTED
257;257;159;766;1;RESERVATION_AGREEMENT
258;258;106;765;;SUBMITTED
259;259;139;746;;SUBMITTED
260;260;183;755;;SUBMITTED
261;261;69;764;;SUBMITTED
262;262;204;763;;SUBMITTED
263;263;153;768;;SUBMITTED
264;264;105;757;;SUBMITTED
265;265;200;758;;SUBMITTED
266;266;134;766;;SUBMITTED
267;267;72;767;1;SOLD
268;268;115;755;1;SOLD
269;269;128;747;;SUBMITTED
270;270;194;748;1;RESERVATION_AGREEMENT
271;271;60;765;1;RESERVATION_AGREEMENT
272;272;119;765;;SUBMITTED
273;273;120;768;1;RESERVATION_AGREEMENT
274;274;133;753;;SUBMITTED
275;275;161;753;;SUBMITTED
276;276;164;753;;SUBMITTED
277;277;198;746;;SUBMITTED
278;278;135;763;;SUBMITTED
279;279;166;751;;SUBMITTED
280;280;172;751;;SUBMITTED
281;281;108;764;;SUBMITTED
282;282;89;767;;SUBMITTED
283;283;107;766;;SUBMITTED
284;284;70;747;;SUBMITTED
285;285;116;765;;SUBMITTED
286;286;117;747;1;SOLD
287;287;9;749;;SUBMITTED
288;288;79;760;;SUBMITTED
289;289;136;751;1;RESERVATION_AGREEMENT
290;290;178;750;;SUBMITTED
291;291;142;747;;SUBMITTED
292;292;36;748;;SUBMITTED
293;293;113;766;;SUBMITTED
294;294;144;749;1;SOLD
295;295;122;767;;SUBMITTED
296;296;193;761;1;RESERVATION_AGREEMENT
297;297;179;753;;SUBMITTED
298;298;130;753;1;SOLD
299;299;181;750;1;RESERVATION_AGREEMENT
300;300;171;755;;SUBMITTED
301;301;140;748;;SUBMITTED
302;302;151;750;;SUBMITTED
303;303;150;749;;SUBMITTED
304;304;192;767;;SUBMITTED
305;305;110;760;;SUBMITTED
306;306;132;760;;SUBMITTED
307;307;112;758;;SUBMITTED
308;308;158;758;1;RESERVATION_AGREEMENT
309;309;175;752;1;RESERVATION_AGREEMENT
310;310;126;767;;SUBMITTED
1000172;1000172;155;284;;SUBMITTED
1000173;1000173;155;285;;SUBMITTED
1000174;1000174;155;290;;SUBMITTED
1000175;1000175;155;293;;SUBMITTED
1000176;1000176;155;298;;SUBMITTED
1000177;1000177;155;299;;SUBMITTED
1000178;1000178;155;302;;SUBMITTED
1000179;1000179;155;303;;SUBMITTED
1000180;1000180;170;284;1;ACCEPTED_BY_MUNICIPALITY
1000181;1000181;170;285;;SUBMITTED
1000182;1000182;170;287;;SUBMITTED
1000183;1000183;127;287;;SUBMITTED
1000184;1000184;127;295;;SUBMITTED
1000185;1000185;127;285;1;OFFERED
1000186;1000186;199;297;;SUBMITTED
1000187;1000187;199;296;;SUBMITTED
1000188;1000188;199;286;1;SOLD
1000189;1000189;199;289;;SUBMITTED
1000190;1000190;199;292;;SUBMITTED
1000191;1000191;201;299;;SUBMITTED
1000192;1000192;201;287;1;SOLD
1000193;1000193;201;302;;SUBMITTED
1000194;1000194;131;291;;SUBMITTED
1000195;1000195;131;300;;SUBMITTED
1000196;1000196;131;288;1;SOLD
1000197;1000197;162;305;;SUBMITTED
1000198;1000198;162;289;1;SOLD
1000199;1000199;162;292;;SUBMITTED
1000200;1000200;162;297;;SUBMITTED
1000201;1000201;203;287;;SUBMITTED
1000202;1000202;203;290;1;OFFER ACCEPTED
1000203;1000203;203;293;;SUBMITTED
1000204;1000204;203;298;;SUBMITTED
1000205;1000205;167;291;1;OFFER ACCEPTED
1000206;1000206;167;294;;SUBMITTED
