id;apartment_uuid;timestamp
745;745;5.4.2022
746;746;5.4.2022
747;747;5.4.2022
748;748;5.4.2022
749;749;5.4.2022
750;750;5.4.2022
751;751;5.4.2022
752;752;5.4.2022
753;753;5.4.2022
754;754;5.4.2022
755;755;5.4.2022
756;756;5.4.2022
757;757;5.4.2022
758;758;5.4.2022
759;759;5.4.2022
760;760;5.4.2022
761;761;5.4.2022
762;762;5.4.2022
763;763;5.4.2022
764;764;5.4.2022
765;765;5.4.2022
766;766;5.4.2022
767;767;5.4.2022
768;768;5.4.2022
